País,Khloé Kardashian: (1/1/07 - 21/3/19)
Gabón,
Congo,
Namibia,
Aruba,
Bahamas,
Botsuana,
Trinidad y Tobago,100
Curazao,
Zambia,
Camerún,
República Democrática del Congo,
Seychelles,
Bermudas,
Sint Maarten,
Sudáfrica,80
Belice,
Côte d’Ivoire,78
Palaos,
Guinea Ecuatorial,
Islas Turcas y Caicos,
San Cristóbal y Nieves,
Benín,
Esuatini,
Islas Vírgenes Británicas,
Santa Lucía,
Uganda,72
Antigua y Barbuda,
Jamaica,65
Islas Caimán,
Togo,
Barbados,
Kenia,59
Caribe neerlandés,
Guam,
Senegal,
Zimbabue,
Malaui,
Mali,
San Bartolomé,
Estados Unidos,48
Nueva Zelanda,48
Burkina Faso,
Irlanda,46
Burundi,
Islas Vírgenes de EE. UU.,
Dominica,
Australia,40
Canadá,40
Malta,
Surinam,
Samoa,
San Vicente y las Granadinas,
Nigeria,38
Níger,
Lesoto,
Reino Unido,36
Granada,
Islandia,
Noruega,34
Ghana,
Puerto Rico,34
Nicaragua,
Panamá,31
Jersey,
Papúa Nueva Guinea,
Honduras,
Guinea,
Ruanda,
Isla de Man,
Brunéi,
Martinica,
Angola,
Eslovenia,29
Guadalupe,
Islas Feroe,
Guyana,
Costa Rica,25
Guernesey,
Chipre,
Fiyi,
Maldivas,
Croacia,23
El Salvador,
Sierra Leona,
Líbano,
Macedonia del Norte,
Islas Marianas del Norte,
Suecia,21
Guayana Francesa,
Chad,
Reunión,
Gibraltar,
Mozambique,
Mayotte,
Dinamarca,19
Haití,
Groenlandia,
Tanzania,
Venezuela,19
Kosovo,
Gambia,
República Dominicana,19
Portugal,17
Emiratos Árabes Unidos,17
Yibuti,
México,17
Guatemala,
Mauricio,
Serbia,14
Bélgica,14
Montenegro,
Países Bajos,14
Mónaco,
Colombia,14
Liberia,
Santa Elena,
Francia,12
Paraguay,
Mauritania,
Baréin,
Catar,
Albania,
Singapur,12
Grecia,12
Suiza,12
Letonia,
Armenia,
Kuwait,
Madagascar,
Filipinas,12
Islas Aland,
Bosnia y Herzegovina,
Estonia,
Israel,10
Luxemburgo,
Guinea-Bisáu,
Chile,10
Uruguay,
Finlandia,10
Ecuador,10
Camboya,
Somalia,
Mongolia,
Etiopía,
España,8
Bután,
Marruecos,8
Bolivia,
Nueva Caledonia,
Malasia,8
Cuba,
Austria,8
Polinesia Francesa,
Polonia,8
Túnez,
Argelia,8
Cabo Verde,
Afganistán,
Rumanía,6
Omán,
Argentina,6
Perú,6
Sri Lanka,
Lituania,
Jordania,
Nepal,
Myanmar (Birmania),
Brasil,6
Libia,
Alemania,4
Eslovaquia,
Georgia,
Hong Kong,
Arabia Saudí,4
Pakistán,4
Hungría,
Irak,
Andorra,
Kirguistán,
Kazajistán,
Italia,4
Chequia,
Siria,
Sudán,
Turquía,4
Azerbaiyán,
Bangladés,
Egipto,
Indonesia,2
Bulgaria,
India,2
Irán,
Macao,
Moldavia,
Palestina,
Corea del Sur,
Laos,
Ucrania,
Bielorrusia,
Uzbekistán,
Rusia,2
Taiwán,
Yemen,
Tailandia,
China,
Vietnam,
Turkmenistán,
Japón,<1
Ciudad del Vaticano,
Antártida,
Nauru,
Anguila,
Montserrat,
República Centroafricana,
Islas Cook,
Svalbard y Jan Mayen,
Samoa Americana,
Islas Malvinas (Islas Falkland),
Micronesia,
Tonga,
San Martín,
Islas Marshall,
Vanuatu,
San Pedro y Miquelón,
Timor-Leste,
Islas Salomón,
Sudán del Sur,
San Marino,
Comoras,
Sáhara Occidental,
Liechtenstein,
Tayikistán,
Territorios Australes Franceses,
Isla Bouvet,
Islas Cocos,
Isla de Navidad,
Eritrea,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Kiribati,
Isla Norfolk,
Niue,
Islas Pitcairn,
Corea del Norte,
Islas Georgia del Sur y Sandwich del Sur,
Santo Tomé y Príncipe,
Tokelau,
Tuvalu,
Islas menores alejadas de EE. UU.,
Wallis y Futuna,
