País,Kourtney Kardashian: (1/1/07 - 21/3/19)
Gabón,
Congo,
Aruba,
Namibia,
Trinidad y Tobago,100
Seychelles,
Curazao,
Islas Turcas y Caicos,
Guam,
Botsuana,
Sudáfrica,73
Bahamas,
Belice,
Côte d’Ivoire,
Bermudas,
Santa Lucía,
Camerún,
San Cristóbal y Nieves,
Irlanda,60
Jamaica,
Benín,
Sint Maarten,
Malta,
Nueva Zelanda,56
República Democrática del Congo,
Zambia,
Islas Caimán,
Surinam,
Uganda,
Barbados,
Esuatini,
Guinea Ecuatorial,
Estados Unidos,50
Togo,
Australia,49
Canadá,48
Antigua y Barbuda,
Islandia,
San Vicente y las Granadinas,
Dominica,
Brunéi,
Burkina Faso,
Kenia,41
Reino Unido,40
Noruega,40
Senegal,
Malaui,
Puerto Rico,40
Zimbabue,
Mali,
Panamá,36
Eslovenia,36
Granada,
Burundi,
Islas Feroe,
Maldivas,
Croacia,33
Guinea-Bisáu,
Isla de Man,
Martinica,
Papúa Nueva Guinea,
Guernesey,
Líbano,32
Jersey,
Níger,
Nicaragua,
Chipre,
Lesoto,
Honduras,
Gibraltar,
Costa Rica,28
Guadalupe,
Nigeria,28
Ghana,
Suecia,25
Guinea,
Portugal,25
Islas Vírgenes de EE. UU.,
Dinamarca,25
Macedonia del Norte,
Reunión,
Fiyi,
Angola,
Guyana,
El Salvador,
Chad,
Mauricio,
República Dominicana,21
Mónaco,
Bélgica,20
Montenegro,
Kosovo,
Mozambique,
Francia,18
Serbia,18
Haití,
Guatemala,
Baréin,
Países Bajos,17
Madagascar,
Emiratos Árabes Unidos,17
Colombia,17
Albania,
Suiza,17
Venezuela,16
México,16
Guayana Francesa,
Letonia,
Singapur,16
Kuwait,
Bosnia y Herzegovina,
Catar,
Estonia,
Luxemburgo,
Sierra Leona,
Paraguay,
Filipinas,14
Tanzania,
Ruanda,
Polonia,14
Israel,14
Mauritania,
Santa Elena,
Grecia,13
Ecuador,12
Malasia,12
Finlandia,12
Bután,
Armenia,
Uruguay,
Chile,10
Marruecos,10
Mongolia,
Argelia,9
Túnez,
Austria,9
Somalia,
Sri Lanka,
Lituania,
Rumanía,9
Bolivia,
Omán,
España,9
Nueva Caledonia,
Perú,8
Nepal,
Etiopía,
Jordania,
Arabia Saudí,6
Alemania,6
Argentina,6
Georgia,
Cuba,
Eslovaquia,
Myanmar (Birmania),
Brasil,5
Hungría,5
Hong Kong,
Libia,
Pakistán,5
Camboya,
Afganistán,
Sudán,
Italia,4
Kirguistán,
Kazajistán,
Egipto,4
Macao,
Chequia,
Indonesia,4
Siria,
Bangladés,
Azerbaiyán,
Irak,
Bulgaria,
India,2
Moldavia,
Turquía,2
Sudán del Sur,
Irán,
Palestina,
Turkmenistán,
Bielorrusia,
Laos,
Yemen,
Ucrania,
Corea del Sur,
Uzbekistán,
Rusia,1
Tailandia,
Taiwán,
Japón,1
Vietnam,
China,
Isla de Navidad,
Isla Norfolk,
Eritrea,
Palaos,
Anguila,
Svalbard y Jan Mayen,
Islas Vírgenes Británicas,
Islas Cook,
Tonga,
Caribe neerlandés,
Groenlandia,
Samoa,
San Martín,
Islas Salomón,
Islas Marianas del Norte,
Comoras,
Mayotte,
Vanuatu,
Gambia,
Yibuti,
San Bartolomé,
Liberia,
Timor-Leste,
Polinesia Francesa,
Cabo Verde,
Andorra,
Liechtenstein,
San Marino,
Islas Aland,
Tayikistán,
Samoa Americana,
Antártida,
Territorios Australes Franceses,
Isla Bouvet,
República Centroafricana,
Islas Cocos,
Sáhara Occidental,
Islas Malvinas (Islas Falkland),
Micronesia,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Kiribati,
Islas Marshall,
Montserrat,
Niue,
Nauru,
Islas Pitcairn,
Corea del Norte,
Islas Georgia del Sur y Sandwich del Sur,
San Pedro y Miquelón,
Santo Tomé y Príncipe,
Tokelau,
Tuvalu,
Islas menores alejadas de EE. UU.,
Ciudad del Vaticano,
Wallis y Futuna,
