País,Kylie Jenner: (1/1/07 - 21/3/19)
Gabón,
Palaos,
Congo,
Trinidad y Tobago,100
Seychelles,
Belice,
Aruba,
Curazao,
Santa Lucía,
Namibia,
Bahamas,
Guam,
Islas Turcas y Caicos,
Guinea Ecuatorial,
Sint Maarten,
Jamaica,
San Bartolomé,
San Cristóbal y Nieves,
Esuatini,
Maldivas,
Caribe neerlandés,
Surinam,
San Martín,
Granada,
Islas Caimán,
Bermudas,
Guyana,
Groenlandia,
Sudáfrica,65
Barbados,
Islas Feroe,
Camerún,
Samoa Americana,
Estados Unidos,61
Antigua y Barbuda,
Brunéi,
Zambia,
Botsuana,
Nueva Zelanda,58
Australia,57
Gibraltar,
Irlanda,56
Isla de Man,
Jersey,
Benín,
San Vicente y las Granadinas,
Guadalupe,
República Democrática del Congo,
Islas Cook,
Reino Unido,52
Kosovo,
Islandia,
Líbano,50
Togo,
Canadá,50
Islas Vírgenes Británicas,
Martinica,
Honduras,
Puerto Rico,48
Islas Vírgenes de EE. UU.,
Côte d’Ivoire,
Panamá,46
Malta,
Islas Marianas del Norte,
Samoa,
Albania,
Noruega,44
Mayotte,
Guayana Francesa,
Bután,
Filipinas,42
Fiyi,
Guernesey,
Senegal,
Costa Rica,42
Zimbabue,
Dominica,
Malaui,
Nicaragua,
Uganda,
Lesoto,
Anguila,
Burundi,
Mali,
Papúa Nueva Guinea,
Macedonia del Norte,
Níger,
Emiratos Árabes Unidos,36
Haití,
Kenia,34
Chipre,
Reunión,
El Salvador,
Nigeria,33
Myanmar (Birmania),
Dinamarca,33
Angola,
República Dominicana,32
Madagascar,
Croacia,32
Tonga,
Mauricio,
Vanuatu,
Ghana,
Islas Salomón,
Baréin,
Suecia,30
México,29
Colombia,29
Eslovenia,28
Burkina Faso,
Singapur,28
Montenegro,
Guatemala,28
Nepal,
Catar,
Guinea,
Luxemburgo,
Gambia,
Venezuela,25
Kuwait,
Timor-Leste,
Mónaco,
Mozambique,
Países Bajos,24
Francia,24
Suiza,24
Ecuador,24
Bosnia y Herzegovina,
Paraguay,
Islas Aland,
Mauritania,
Grecia,22
Portugal,22
Chile,22
Bélgica,22
Armenia,
Mongolia,
Cuba,
Cabo Verde,
Serbia,21
República Centroafricana,
Turkmenistán,
Estonia,
Ruanda,
Finlandia,20
Yibuti,
Arabia Saudí,20
Kazajistán,18
Israel,18
Guinea-Bisáu,
Malasia,18
Polonia,18
Liechtenstein,
Kirguistán,
Austria,18
Omán,
Santa Elena,
Nueva Caledonia,
Georgia,
Camboya,
Uruguay,
Chad,
Marruecos,16
Sierra Leona,
Andorra,
Afganistán,
Perú,16
Letonia,
Argelia,16
Polinesia Francesa,
Alemania,14
Somalia,
Bolivia,
Uzbekistán,
Etiopía,
Liberia,
Rumanía,14
Sri Lanka,
Túnez,
España,14
Libia,
Indonesia,14
Pakistán,13
Bulgaria,13
Azerbaiyán,
Tanzania,
Hungría,13
Argentina,13
Jordania,
Bangladés,
Brasil,10
Chequia,10
Rusia,10
Moldavia,
Eslovaquia,
Irak,
Turquía,9
Ucrania,9
Lituania,
Italia,9
Bielorrusia,
San Marino,
Macao,
India,9
Hong Kong,
Irán,9
Sudán del Sur,
Laos,
Siria,
Tayikistán,
Sudán,
Egipto,6
Palestina,
Corea del Sur,
Tailandia,5
Yemen,
Vietnam,2
Taiwán,
Japón,1
China,
Ciudad del Vaticano,
Niue,
Isla de Navidad,
Tuvalu,
Corea del Norte,
Svalbard y Jan Mayen,
Montserrat,
Islas Malvinas (Islas Falkland),
San Pedro y Miquelón,
Islas Marshall,
Eritrea,
Micronesia,
Comoras,
Sáhara Occidental,
Santo Tomé y Príncipe,
Antártida,
Territorios Australes Franceses,
Isla Bouvet,
Islas Cocos,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Kiribati,
Isla Norfolk,
Nauru,
Islas Pitcairn,
Islas Georgia del Sur y Sandwich del Sur,
Tokelau,
Islas menores alejadas de EE. UU.,
Wallis y Futuna,
