Mes,Kim Kardashian: (Todo el mundo),Khloé Kardashian: (Todo el mundo),Kourtney Kardashian: (Todo el mundo),Kendall Jenner: (Todo el mundo),Kylie Jenner: (Todo el mundo)
2007-01,3,<1,<1,<1,1
2007-02,12,<1,<1,<1,1
2007-03,9,<1,<1,<1,1
2007-04,6,<1,<1,<1,1
2007-05,6,<1,<1,<1,1
2007-06,5,<1,<1,<1,1
2007-07,6,<1,<1,<1,1
2007-08,6,<1,<1,<1,1
2007-09,8,<1,<1,<1,1
2007-10,15,<1,<1,<1,1
2007-11,20,<1,<1,<1,1
2007-12,17,<1,1,<1,1
2008-01,13,<1,<1,<1,1
2008-02,9,<1,<1,<1,1
2008-03,14,<1,<1,<1,1
2008-04,16,<1,<1,<1,1
2008-05,16,<1,<1,<1,1
2008-06,13,<1,<1,<1,1
2008-07,13,1,<1,<1,1
2008-08,16,<1,<1,<1,1
2008-09,14,<1,<1,<1,1
2008-10,14,<1,<1,<1,1
2008-11,11,<1,<1,<1,1
2008-12,13,1,<1,<1,1
2009-01,13,<1,<1,<1,<1
2009-02,11,<1,<1,<1,<1
2009-03,14,1,1,<1,<1
2009-04,15,1,1,<1,<1
2009-05,15,1,1,<1,<1
2009-06,13,1,1,<1,<1
2009-07,15,1,1,<1,<1
2009-08,16,2,4,<1,<1
2009-09,14,6,3,<1,<1
2009-10,13,4,2,<1,<1
2009-11,14,3,1,<1,<1
2009-12,16,4,4,<1,1
2010-01,17,2,2,<1,1
2010-02,19,2,3,1,<1
2010-03,18,2,2,<1,<1
2010-04,26,2,2,<1,<1
2010-05,20,2,2,<1,1
2010-06,20,4,2,1,1
2010-07,21,3,3,1,1
2010-08,26,3,4,2,1
2010-09,25,2,2,1,1
2010-10,27,2,2,1,1
2010-11,21,2,2,1,1
2010-12,25,3,2,1,1
2011-01,26,3,3,1,1
2011-02,35,2,3,1,1
2011-03,22,2,2,1,1
2011-04,21,4,2,1,1
2011-05,23,4,2,1,1
2011-06,25,5,2,1,1
2011-07,22,3,2,1,1
2011-08,47,3,3,3,1
2011-09,27,2,2,2,1
2011-10,35,3,2,1,1
2011-11,51,3,3,2,1
2011-12,31,4,5,2,1
2012-01,27,6,4,2,1
2012-02,24,4,3,2,1
2012-03,25,4,3,2,1
2012-04,27,5,3,2,1
2012-05,27,5,3,2,1
2012-06,31,3,4,2,2
2012-07,26,3,7,3,2
2012-08,28,3,4,2,2
2012-09,26,4,4,2,2
2012-10,24,4,3,2,1
2012-11,23,5,3,2,1
2012-12,28,3,2,2,1
2013-01,36,4,4,2,2
2013-02,29,3,3,2,2
2013-03,31,3,3,2,2
2013-04,35,3,3,3,2
2013-05,31,3,2,3,2
2013-06,63,4,3,3,2
2013-07,30,5,3,3,3
2013-08,27,8,4,3,4
2013-09,21,7,2,2,2
2013-10,34,6,2,3,2
2013-11,26,5,2,8,3
2013-12,26,7,2,6,3
2014-01,24,6,2,5,3
2014-02,22,5,2,8,3
2014-03,24,6,2,4,3
2014-04,24,4,2,4,4
2014-05,37,5,2,5,6
2014-06,30,6,5,6,5
2014-07,34,6,3,5,5
2014-08,35,5,3,5,6
2014-09,44,4,3,6,5
2014-10,27,4,2,4,6
2014-11,100,7,4,5,7
2014-12,39,6,8,6,7
2015-01,32,5,4,6,10
2015-02,41,6,3,7,12
2015-03,36,5,3,6,10
2015-04,30,5,3,10,27
2015-05,31,5,3,10,16
2015-06,35,5,3,8,14
2015-07,30,7,8,9,18
2015-08,33,6,4,9,26
2015-09,27,5,3,7,20
2015-10,25,13,5,7,14
2015-11,23,8,4,11,18
2015-12,36,8,8,9,19
2016-01,25,8,5,11,15
2016-02,26,7,4,8,16
2016-03,44,5,4,8,15
2016-04,24,5,4,8,19
2016-05,24,5,4,7,20
2016-06,24,7,3,7,17
2016-07,28,6,4,7,19
2016-08,25,4,3,7,21
2016-09,23,5,3,6,15
2016-10,42,5,3,5,15
2016-11,20,5,3,7,17
2016-12,21,4,3,6,18
2017-01,20,4,3,5,15
2017-02,17,4,2,4,12
2017-03,14,3,2,4,10
2017-04,20,3,3,9,12
2017-05,17,3,4,6,11
2017-06,16,5,2,4,12
2017-07,17,3,2,4,12
2017-08,14,3,2,4,14
2017-09,17,6,2,4,31
2017-10,18,6,3,5,15
2017-11,20,5,3,4,13
2017-12,15,6,3,4,14
2018-01,24,6,3,5,17
2018-02,20,5,3,5,36
2018-03,15,5,3,4,12
2018-04,18,24,3,4,10
2018-05,17,7,2,6,12
2018-06,15,4,2,4,7
2018-07,15,4,3,4,16
2018-08,17,4,5,5,12
2018-09,13,3,3,6,8
2018-10,14,3,2,3,8
2018-11,14,4,2,4,8
2018-12,13,3,2,4,8
2019-01,13,3,2,4,10
2019-02,13,9,2,5,13
2019-03,12,7,2,3,13
